epoch,lr,trainset_Energy_RMSE,trainset_Force_RMSE,trainset_Stress_RMSE,trainset_TotalLoss
1,0.004000,1.950969,1.127666,23.355736,0.023943
2,0.003960,0.441789,1.099358,15.467978,0.008195
3,0.003920,0.109615,1.048741,11.450192,0.005293
4,0.003881,0.064664,0.996040,9.686949,0.004697
5,0.003842,0.034770,0.923580,8.459205,0.004158
6,0.003804,0.036590,0.789827,6.556600,0.003543
7,0.003766,0.033814,0.617581,3.935580,0.002846
8,0.003728,0.018993,0.545231,3.133845,0.002415
9,0.003691,0.017124,0.521262,3.308805,0.002312
10,0.003654,0.013121,0.503806,3.342743,0.002232
11,0.003618,0.015838,0.487915,3.116638,0.002161
12,0.003581,0.012479,0.471460,2.897675,0.002057
13,0.003546,0.014993,0.453539,3.104175,0.002002
14,0.003510,0.019358,0.435897,2.489403,0.001960
15,0.003475,0.010294,0.419362,2.514757,0.001822
16,0.003440,0.010677,0.405278,3.044011,0.001794
17,0.003406,0.013726,0.394641,2.678589,0.001768
18,0.003372,0.009842,0.385463,2.846370,0.001694
19,0.003338,0.011041,0.376354,2.641786,0.001667
20,0.003305,0.010913,0.368149,2.565263,0.001631
21,0.003272,0.010156,0.360326,2.612142,0.001590
22,0.003239,0.009772,0.353378,2.539012,0.001573
23,0.003207,0.013506,0.346700,2.558677,0.001581
24,0.003174,0.014189,0.340904,2.526943,0.001548
25,0.003143,0.009333,0.335181,2.554974,0.001487
26,0.003111,0.009897,0.330023,2.206676,0.001471
27,0.003080,0.012236,0.324507,2.259948,0.001477
28,0.003049,0.016637,0.319454,2.371948,0.001478
29,0.003019,0.007106,0.315167,2.894852,0.001404
30,0.002989,0.007882,0.309838,2.235225,0.001377
31,0.002959,0.010145,0.305416,2.211369,0.001360
32,0.002929,0.009317,0.302135,2.797679,0.001364
33,0.002900,0.009482,0.297717,2.331501,0.001343
34,0.002871,0.007765,0.293923,2.358741,0.001306
35,0.002842,0.005700,0.290072,1.882964,0.001258
36,0.002814,0.005801,0.287082,2.296094,0.001262
37,0.002786,0.005851,0.283860,1.986231,0.001246
38,0.002758,0.004009,0.280499,2.241940,0.001226
39,0.002730,0.005399,0.277671,2.040411,0.001216
40,0.002703,0.004119,0.275349,2.316873,0.001214
41,0.002676,0.004139,0.272280,1.879759,0.001191
42,0.002649,0.004232,0.269965,1.877589,0.001186
43,0.002623,0.005544,0.267833,2.114925,0.001174
44,0.002596,0.010440,0.265667,1.980795,0.001204
45,0.002570,0.004207,0.263279,2.020520,0.001150
46,0.002545,0.007440,0.261417,1.946719,0.001150
47,0.002519,0.005661,0.259611,1.821369,0.001147
48,0.002494,0.007162,0.257728,1.840772,0.001131
49,0.002469,0.004964,0.255833,1.687021,0.001113
50,0.002444,0.003584,0.254283,2.010741,0.001109
51,0.002420,0.004303,0.252586,1.776044,0.001098
52,0.002396,0.003861,0.250824,1.761938,0.001097
53,0.002372,0.006119,0.249502,1.950418,0.001091
54,0.002348,0.007497,0.248014,1.950222,0.001099
55,0.002325,0.004846,0.246579,1.891450,0.001077
56,0.002301,0.006873,0.245171,1.759671,0.001080
57,0.002278,0.004407,0.243769,1.612427,0.001047
58,0.002256,0.003512,0.242559,2.040107,0.001060
59,0.002233,0.004064,0.241209,1.663011,0.001049
60,0.002211,0.004165,0.240173,1.794691,0.001051
61,0.002189,0.004552,0.239022,2.052846,0.001049
62,0.002167,0.005937,0.237640,1.694141,0.001040
63,0.002145,0.003720,0.236680,1.919122,0.001028
64,0.002124,0.003822,0.234995,1.618719,0.001014
65,0.002102,0.005189,0.234256,1.839876,0.001016
66,0.002081,0.004394,0.233187,1.696781,0.001012
67,0.002061,0.004230,0.232521,2.227981,0.001021
68,0.002040,0.003412,0.231171,1.718072,0.001006
69,0.002020,0.005842,0.230373,2.006366,0.001011
70,0.001999,0.006925,0.229043,1.515818,0.000994
71,0.001979,0.006388,0.227989,1.541743,0.000992
72,0.001960,0.003206,0.227392,1.823497,0.000983
73,0.001940,0.003438,0.226344,1.555651,0.000978
74,0.001921,0.003367,0.225517,1.558570,0.000966
75,0.001901,0.004470,0.225117,2.091963,0.000981
76,0.001882,0.005452,0.224092,1.841707,0.000983
77,0.001864,0.005572,0.222862,1.490256,0.000962
78,0.001845,0.004136,0.222584,2.098130,0.000975
79,0.001826,0.005138,0.221325,1.509141,0.000954
80,0.001808,0.003374,0.220619,1.503880,0.000950
81,0.001790,0.005062,0.219982,1.843799,0.000962
82,0.001772,0.004477,0.219338,1.826030,0.000953
83,0.001754,0.004049,0.218597,1.872343,0.000947
84,0.001737,0.004116,0.217646,1.459685,0.000932
85,0.001720,0.003458,0.217123,1.689038,0.000934
86,0.001702,0.002913,0.216775,1.874508,0.000943
87,0.001685,0.006090,0.215813,1.502300,0.000935
88,0.001668,0.003471,0.215783,2.265844,0.000945
89,0.001652,0.003185,0.214566,1.747781,0.000933
90,0.001635,0.005179,0.213650,1.447584,0.000913
91,0.001619,0.003557,0.213154,1.416506,0.000908
92,0.001603,0.002704,0.212504,1.520396,0.000905
93,0.001587,0.003609,0.212111,1.760159,0.000916
94,0.001571,0.003238,0.211379,1.569685,0.000907
95,0.001555,0.004278,0.210800,1.625112,0.000902
96,0.001540,0.004486,0.210213,1.455036,0.000899
97,0.001524,0.003759,0.209657,1.584085,0.000895
98,0.001509,0.004937,0.209067,1.344092,0.000897
99,0.001494,0.004397,0.208434,1.310612,0.000882
100,0.001479,0.003567,0.207900,1.417809,0.000879
