Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_TotalLoss,Valid_TotalLoss
1,0.004000,0.060408,0.041598,1.126093,1.117495,19.286031,14.196007,0.005703,0.005314
2,0.003960,0.045611,0.050462,1.087448,1.036879,11.110483,9.855147,0.005089,0.004783
3,0.003920,0.040445,0.024817,0.983292,0.927758,9.238771,7.943868,0.004509,0.004115
4,0.003881,0.035288,0.022329,0.875246,0.800757,7.214989,6.133688,0.003921,0.003516
5,0.003842,0.026248,0.020746,0.718976,0.630676,5.026035,4.189598,0.003217,0.002817
6,0.003804,0.030253,0.026370,0.599307,0.572511,4.694643,3.735472,0.002789,0.002614
7,0.003766,0.019191,0.012939,0.567707,0.554161,3.709672,3.614816,0.002558,0.002439
8,0.003728,0.018904,0.020291,0.555626,0.547624,4.675125,3.441141,0.002512,0.002444
9,0.003691,0.015697,0.016677,0.547354,0.535483,3.244843,3.444618,0.002386,0.002365
10,0.003654,0.020072,0.030022,0.538423,0.529020,3.941810,3.394706,0.002433,0.002463
11,0.003618,0.022601,0.015172,0.532857,0.523171,3.456884,4.574353,0.002373,0.002319
12,0.003581,0.014635,0.018535,0.526246,0.514606,4.072377,4.210159,0.002306,0.002303
13,0.003546,0.016336,0.010888,0.516912,0.501518,3.378512,3.045994,0.002253,0.002143
14,0.003510,0.018842,0.009314,0.500391,0.483671,3.112100,2.811022,0.002206,0.002046
15,0.003475,0.015923,0.009110,0.487331,0.473044,3.041650,3.259993,0.002116,0.002013
16,0.003440,0.012004,0.008562,0.475411,0.460235,2.733518,3.483910,0.002038,0.001971
17,0.003406,0.011202,0.008671,0.462349,0.445770,2.804522,2.635632,0.001982,0.001892
18,0.003372,0.011351,0.008497,0.448205,0.430319,2.541365,2.745790,0.001921,0.001846
19,0.003338,0.013293,0.016753,0.434048,0.416513,2.577436,3.504093,0.001885,0.001888
20,0.003305,0.017552,0.022486,0.420634,0.402779,2.748439,4.019963,0.001890,0.001920
21,0.003272,0.012845,0.007635,0.408883,0.390480,2.857093,2.248110,0.001800,0.001679
22,0.003239,0.009810,0.013326,0.397733,0.378846,2.459286,2.468017,0.001722,0.001689
23,0.003207,0.016253,0.013710,0.387312,0.370435,2.775737,3.099601,0.001735,0.001684
24,0.003174,0.011174,0.006351,0.379301,0.361679,2.947912,2.021368,0.001654,0.001557
25,0.003143,0.008853,0.005316,0.371222,0.352998,2.177038,3.033551,0.001610,0.001557
26,0.003111,0.009184,0.016907,0.363234,0.344911,2.137962,3.364119,0.001580,0.001633
27,0.003080,0.012007,0.006583,0.355669,0.338120,3.024099,3.863669,0.001576,0.001531
28,0.003049,0.009559,0.005506,0.349168,0.330903,2.974095,3.370409,0.001541,0.001482
29,0.003019,0.008288,0.009069,0.342354,0.324214,3.191671,2.251693,0.001518,0.001441
30,0.002989,0.008599,0.005911,0.334594,0.317179,2.154195,2.205554,0.001454,0.001395
31,0.002959,0.009222,0.004349,0.327824,0.310339,2.545522,3.113422,0.001439,0.001390
32,0.002929,0.006517,0.009622,0.321335,0.303641,2.734072,1.826834,0.001407,0.001354
33,0.002900,0.008320,0.004840,0.314645,0.298887,2.151977,1.898951,0.001382,0.001305
34,0.002871,0.006470,0.005727,0.309497,0.293555,2.886164,1.922368,0.001355,0.001292
35,0.002842,0.009798,0.005838,0.304835,0.289518,2.756144,2.962787,0.001355,0.001309
36,0.002814,0.007025,0.009630,0.301284,0.286524,2.811266,1.665913,0.001318,0.001280
37,0.002786,0.006192,0.003563,0.297365,0.282906,1.823882,1.670868,0.001284,0.001226
38,0.002758,0.005506,0.007757,0.293658,0.280196,2.115435,1.657049,0.001271,0.001237
39,0.002730,0.005143,0.007981,0.290450,0.276569,1.992940,1.592915,0.001240,0.001222
40,0.002703,0.006887,0.012103,0.287542,0.274036,1.944139,1.551268,0.001256,0.001245
41,0.002676,0.008270,0.008995,0.284236,0.271657,1.698457,1.584097,0.001243,0.001208
42,0.002649,0.006036,0.006547,0.281435,0.269041,1.715333,1.649910,0.001204,0.001182
43,0.002623,0.008646,0.005642,0.278981,0.266126,1.714567,2.004680,0.001214,0.001174
44,0.002596,0.005386,0.003121,0.276524,0.263850,1.939444,1.493490,0.001198,0.001140
45,0.002570,0.004914,0.005212,0.274136,0.261396,2.082408,1.638089,0.001173,0.001140
46,0.002545,0.004791,0.003313,0.271776,0.259154,1.896972,1.688391,0.001161,0.001125
47,0.002519,0.006454,0.010128,0.269243,0.258156,1.848701,2.035654,0.001166,0.001174
